byte_length,setup_time,transfer_time
2721891,0.003156,0.002471
2721891,0.002398,0.002423
4082836,0.003770,0.002662
4082836,0.003666,0.002589
4082836,0.004063,0.002675
4082836,0.003370,0.002603
4082836,0.003846,0.002611
4082836,0.003202,0.002593
4082836,0.003398,0.002561
4082836,0.003404,0.002592
4082836,0.003415,0.002597
4082836,0.003345,0.002576
6124254,0.004988,0.002823
6124254,0.004691,0.002803
6124254,0.005132,0.002854
6124254,0.005264,0.002901
6124254,0.004760,0.002887
6124254,0.005084,0.002820
6124254,0.005559,0.002945
6124254,0.004943,0.002983
6124254,0.004774,0.002880
6124254,0.005169,0.002888
9186381,0.006224,0.003196
9186381,0.006342,0.003256
9186381,0.006689,0.003220
9186381,0.007497,0.003342
9186381,0.006849,0.003277
9186381,0.007499,0.003302
9186381,0.006415,0.003288
9186381,0.006361,0.003278
9186381,0.006192,0.003301
9186381,0.006697,0.003205
13779572,0.009007,0.004260
13779572,0.009360,0.004195
13779572,0.009023,0.004305
13779572,0.009161,0.004372
13779572,0.010066,0.004270
13779572,0.009368,0.004165
13779572,0.009066,0.004288
13779572,0.008916,0.004355
13779572,0.010367,0.004520
13779572,0.009697,0.004251
20669358,0.020931,0.005667
20669358,0.022329,0.006239
20669358,0.022017,0.005856
20669358,0.021157,0.006076
20669358,0.020841,0.006377
20669358,0.021952,0.006066
20669358,0.020860,0.005990
20669358,0.020871,0.006024
20669358,0.022025,0.005866
20669358,0.020481,0.005820
31004037,0.025952,0.008293
31004037,0.026003,0.008487
31004037,0.027047,0.008047
31004037,0.024484,0.007993
31004037,0.027167,0.008201
31004037,0.025426,0.008386
31004037,0.019490,0.007198
31004037,0.024371,0.008238
31004037,0.027292,0.008263
31004037,0.026703,0.008427
46506056,0.032326,0.011556
46506056,0.027048,0.011981
46506056,0.033901,0.011409
46506056,0.033429,0.011828
46506056,0.027232,0.011402
46506056,0.033525,0.011784
46506056,0.033573,0.012313
46506056,0.031825,0.011707
46506056,0.033308,0.011824
46506056,0.032921,0.011963
69759084,0.041123,0.015311
69759084,0.039941,0.017661
69759084,0.036397,0.017018
69759084,0.038232,0.016381
69759084,0.033939,0.016375
69759084,0.044772,0.016097
69759084,0.038340,0.017105
69759084,0.036325,0.016981
69759084,0.037991,0.016753
69759084,0.040145,0.015696
104638626,0.047862,0.023937
104638626,0.048897,0.022105
104638626,0.050775,0.022801
104638626,0.050184,0.023107
104638626,0.048061,0.024417
104638626,0.051295,0.022298
104638626,0.049736,0.024287
104638626,0.044883,0.022730
104638626,0.048337,0.022824
104638626,0.045484,0.023402
156957939,0.056791,0.035143
156957939,0.064794,0.031370
156957939,0.061516,0.033841
156957939,0.060032,0.031134
156957939,0.053910,0.032431
156957939,0.054879,0.032336
156957939,0.059237,0.030878
156957939,0.062155,0.031715
156957939,0.053966,0.032441
156957939,0.056514,0.032171
235436908,0.071160,0.046101
235436908,0.073694,0.048618
235436908,0.078278,0.046440
235436908,0.072081,0.042462
235436908,0.071663,0.046744
235436908,0.073625,0.048232
235436908,0.075388,0.047244
235436908,0.072674,0.047304
235436908,0.072758,0.050957
235436908,0.080334,0.049156
353155362,0.101146,0.068180
353155362,0.097550,0.066117
353155362,0.095383,0.068743
353155362,0.099977,0.066909
353155362,0.098408,0.072681
353155362,0.099878,0.066590
353155362,0.100645,0.068490
353155362,0.100533,0.068407
353155362,0.099072,0.066535
353155362,0.098119,0.067949
529733043,0.142670,0.101898
529733043,0.139535,0.097762
529733043,0.136668,0.096771
529733043,0.143606,0.100806
529733043,0.134069,0.094936
529733043,0.150923,0.099353
529733043,0.140875,0.095709
529733043,0.137944,0.100617
529733043,0.141609,0.098872
529733043,0.138764,0.099198
794599564,0.198513,0.147176
794599564,0.203290,0.149209
794599564,0.210040,0.148315
794599564,0.198668,0.142208
794599564,0.199038,0.142120
794599564,0.196503,0.147871
794599564,0.202272,0.149125
794599564,0.188172,0.142978
794599564,0.192521,0.147254
794599564,0.200219,0.154104
1073741824,0.274015,0.188500
1073741824,0.268814,0.195347
1073741824,0.262706,0.202306
1073741824,0.276366,0.186079
1073741824,0.266050,0.188538
1073741824,0.286191,0.187700
1073741824,0.261443,0.187715
1073741824,0.273522,0.188988
1073741824,0.267846,0.192788
1073741824,0.249814,0.193182
